# RQD de Deere: porcentaje del metraje en tramos continuos de 10 cm o más sin discontinuidad, con la discontinuidad detectada por DI > 1.5.
# Indicador AGREGADO por pozo y por caserón, orientado a tronadura. No reemplaza al DI, que sigue siendo la variable de trabajo punto a punto en el resto del pipeline.
# pozos no evaluables: 3
# generado: 2026-08-26 04:24
nivel,clave,caseron,rqd_mwd,largo_m,n_tramos_validos,n_tramos_descartados
pozo,PCS_1043_PR01_TH_P24_H5,PCS_1043,89.93,29.341,13.0,2.0
pozo,PCS_1043_PR01_TH_P24_H6,PCS_1043,92.63,28.264,4.0,3.0
pozo,PCS_1043_PR01_TH_P24_H7,PCS_1043,91.01,32.793,10.0,2.0
pozo,PCS_1043_PR01_TH_P24_H8,PCS_1043,91.24,27.486,10.0,2.0
pozo,PCS_1043_PR01_TH_P24_H9,PCS_1043,88.23,31.137,9.0,2.0
pozo,PCS_1043_PR01_TH_P24_HU10,PCS_1043,88.33,31.044,17.0,0.0
pozo,PCS_1043_PR01_TH_P25_H10,PCS_1043,89.66,30.857,11.0,1.0
pozo,PCS_1043_PR01_TH_P25_H11,PCS_1043,89.99,30.459,8.0,0.0
pozo,PCS_1043_PR01_TH_P25_H12,PCS_1043,90.64,27.804,10.0,0.0
pozo,PCS_1043_PR01_TH_P25_H13,PCS_1043,88.89,24.598,12.0,1.0
pozo,PCS_1043_PR01_TH_P25_H14,PCS_1043,93.09,17.99,4.0,1.0
pozo,PCS_1043_PR01_TH_P25_H1,PCS_1043,95.6,22.399,4.0,1.0
pozo,PCS_1043_PR01_TH_P25_H2,PCS_1043,88.92,25.298,9.0,1.0
pozo,PCS_1043_PR01_TH_P25_H3,PCS_1043,93.34,28.773,6.0,0.0
pozo,PCS_1043_PR01_TH_P25_H4,PCS_1043,91.82,29.821,7.0,1.0
pozo,PCS_1043_PR01_TH_P25_H5,PCS_1043,92.88,29.601,7.0,0.0
pozo,PCS_1043_PR01_TH_P25_H6,PCS_1043,90.69,31.128,10.0,6.0
pozo,PCS_1043_PR01_TH_P25_H7,PCS_1043,87.93,32.575,14.0,8.0
pozo,PCS_1043_PR01_TH_P25_H8,PCS_1043,84.97,31.76,19.0,1.0
pozo,PCS_1043_PR01_TH_P25_H9,PCS_1043,88.7,31.14,15.0,0.0
pozo,PCS_1043_PR01_TH_P25_HU15,PCS_1043,78.26,12.477,7.0,0.0
pozo,PCS_1043_PR01_TH_P25_HU16,PCS_1043,91.96,26.65,8.0,0.0
pozo,PCS_1043_PR01_TH_P25_HU17,PCS_1043,87.3,28.667,13.0,1.0
pozo,PCS_1043_PR01_TH_P25_HU18,PCS_1043,93.5,19.507,5.0,0.0
pozo,PCS_1043_PR01_TH_P25_HU19,PCS_1043,81.65,1.755,1.0,0.0
pozo,PCS_1043_PR01_TH_P25_HU20,PCS_1043,90.58,21.022,8.0,3.0
pozo,PCC_0042_PR01_TH_P20_H10,PCC_0042,93.94,28.209,6.0,2.0
pozo,PCC_0042_PR01_TH_P20_H11,PCC_0042,84.89,36.336,23.0,8.0
pozo,PCC_0042_PR01_TH_P20_H12,PCC_0042,90.84,35.903,13.0,1.0
pozo,PCC_0042_PR01_TH_P20_H13,PCC_0042,91.03,35.238,10.0,0.0
pozo,PCC_0042_PR01_TH_P20_H14,PCC_0042,90.38,35.073,9.0,4.0
pozo,PCC_0042_PR01_TH_P20_H15,PCC_0042,92.87,35.197,13.0,3.0
pozo,PCC_0042_PR01_TH_P20_H16,PCC_0042,90.76,34.454,12.0,0.0
pozo,PCC_0042_PR01_TH_P20_H17,PCC_0042,86.81,35.257,17.0,5.0
pozo,PCC_0042_PR01_TH_P20_H18,PCC_0042,91.43,36.037,14.0,0.0
pozo,PCC_0042_PR01_TH_P20_H19,PCC_0042,88.4,36.81,15.0,2.0
pozo,PCC_0042_PR01_TH_P20_H20,PCC_0042,87.51,16.082,7.0,1.0
pozo,PCC_0042_PR01_TH_P20_H21,PCC_0042,94.5,22.926,6.0,1.0
pozo,PCC_0042_PR01_TH_P20_H22,PCC_0042,89.33,17.775,4.0,3.0
pozo,PCC_0042_PR01_TH_P20_H8,PCC_0042,86.22,17.076,9.0,1.0
pozo,PCC_0042_PR01_TH_P20_H9,PCC_0042,94.67,22.031,4.0,1.0
pozo,PCC_0042_PR01_TH_P21_H10,PCC_0042,89.15,28.134,9.0,3.0
pozo,PCC_0042_PR01_TH_P21_H11,PCC_0042,89.16,36.35,12.0,5.0
pozo,PCC_0042_PR01_TH_P21_H12,PCC_0042,86.99,34.915,9.0,1.0
pozo,PCC_0042_PR01_TH_P21_H13,PCC_0042,92.2,35.298,12.0,2.0
pozo,PCC_0042_PR01_TH_P21_H14,PCC_0042,92.25,31.401,10.0,1.0
pozo,PCC_0042_PR01_TH_P21_H15,PCC_0042,89.3,34.28,11.0,4.0
pozo,PCC_0042_PR01_TH_P21_H16,PCC_0042,86.26,35.069,14.0,3.0
pozo,PCC_0042_PR01_TH_P21_H17,PCC_0042,93.2,35.179,10.0,0.0
pozo,PCC_0042_PR01_TH_P21_H18,PCC_0042,90.89,35.926,9.0,2.0
pozo,PCC_0042_PR01_TH_P21_H19,PCC_0042,90.09,36.741,17.0,3.0
pozo,PCC_0042_PR01_TH_P21_H20,PCC_0042,87.7,29.35,18.0,4.0
pozo,PCC_0042_PR01_TH_P21_H21,PCC_0042,94.94,22.726,4.0,1.0
pozo,PCC_0042_PR01_TH_P21_H22,PCC_0042,85.88,18.272,7.0,8.0
pozo,PCC_0042_PR01_TH_P21_H9,PCC_0042,94.27,22.119,4.0,0.0
pozo,PCC_0042_PR01_TH_P22_H10,PCC_0042,91.38,28.151,10.0,0.0
pozo,PCC_0042_PR01_TH_P22_H11,PCC_0042,92.37,36.071,10.0,0.0
pozo,PCC_0042_PR01_TH_P22_H12,PCC_0042,90.65,35.296,13.0,0.0
pozo,PCC_0042_PR01_TH_P22_H13,PCC_0042,86.77,35.215,17.0,4.0
pozo,PCC_0042_PR01_TH_P22_H14,PCC_0042,91.99,33.27,12.0,1.0
pozo,PCC_0042_PR01_TH_P22_H15,PCC_0042,92.6,30.683,7.0,1.0
pozo,PCC_0042_PR01_TH_P22_H16,PCC_0042,90.94,35.058,11.0,1.0
pozo,PCC_0042_PR01_TH_P22_H17,PCC_0042,87.87,35.304,14.0,2.0
pozo,PCC_0042_PR01_TH_P22_H18,PCC_0042,92.55,36.005,12.0,2.0
pozo,PCC_0042_PR01_TH_P22_H19,PCC_0042,92.53,36.851,12.0,3.0
pozo,PCC_0042_PR01_TH_P22_H20,PCC_0042,89.22,29.526,12.0,1.0
pozo,PCC_0042_PR01_TH_P22_H22,PCC_0042,93.78,18.48,5.0,0.0
pozo,PCC_0042_PR01_TH_P22_H8,PCC_0042,92.65,17.155,7.0,2.0
pozo,PCC_0042_PR01_TH_P22_H9,PCC_0042,85.3,21.969,13.0,2.0
pozo,PCC_0042_PR01_TH_P22_HU24,PCC_0042,95.36,33.972,4.0,0.0
pozo,PCC_0042_PR01_TH_P23_H11,PCC_0042,94.87,35.165,9.0,0.0
pozo,PCC_0042_PR01_TH_P23_H12,PCC_0042,91.16,35.213,11.0,1.0
pozo,PCC_0042_PR01_TH_P23_H13,PCC_0042,91.29,35.806,13.0,2.0
pozo,PCC_0042_PR01_TH_P23_H14,PCC_0042,89.95,34.921,12.0,1.0
pozo,PCC_0042_PR01_TH_P23_H16,PCC_0042,91.83,34.999,11.0,0.0
pozo,PCC_0042_PR01_TH_P23_H17,PCC_0042,91.98,35.108,12.0,1.0
pozo,PCC_0042_PR01_TH_P23_H18,PCC_0042,89.98,35.979,18.0,0.0
pozo,PCC_0042_PR01_TH_P23_H19,PCC_0042,90.25,36.766,16.0,4.0
pozo,PCC_0042_PR01_TH_P23_H20,PCC_0042,93.87,29.375,8.0,0.0
pozo,PCC_0042_PR01_TH_P23_H21,PCC_0042,89.09,22.892,8.0,2.0
